Model,Rating,F1
SimpleRNN,1 sao,0.1944632005401755
SimpleRNN,2 sao,0.1145662847790507
SimpleRNN,3 sao,0.0
SimpleRNN,4 sao,0.0366300366300366
SimpleRNN,5 sao,0.2490842490842491
BiLSTM + Attention,1 sao,0.8326480263157895
BiLSTM + Attention,2 sao,0.1851400730816078
BiLSTM + Attention,3 sao,0.2582278481012658
BiLSTM + Attention,4 sao,0.2683982683982684
BiLSTM + Attention,5 sao,0.7283950617283951
Transformer,1 sao,0.8227339953517854
Transformer,2 sao,0.2142857142857142
Transformer,3 sao,0.2159090909090909
Transformer,4 sao,0.3007518796992481
Transformer,5 sao,0.7639680729760547
